year,award,tier,title,author,organization,link,broken,image,alt,comment
2023,passion,honorable mention,The Data Blog: Princeton football is the most searched sport – not basketball,<a href=https://www.linkedin.com/in/andrew-bosworth-6b79a41bb>Andrew Bosworth</a>,,https://www.dailyprincetonian.com/article/2023/11/princeton-data-professor-courses-ratings,,,,
2023,passion,honorable mention,What are the hottest panchayats in Kerala?,<a href=https://twitter.com/shijith>Shijith Kunhitty</a>,,https://shijith.com/blog/kerala-panchayat-temp/,,,,
2022,passion,winner,"All the Ways to Make Bubble Tea, Taiwan's Pearl-fect Drink",<a href=http://juliahanjanicki.com/>Julia Janicki</a> & <a href=https://daisychung.com/>Daisy Chung</a>,,https://taiwandatastories.com/bubble-tea-guide/,,tea.jpg,"a sketchy illustrated vertical flow chart showing all the ingredients used to make pure teas, milk teas, milk based drinks, fruit juice teas, fresh juice, and priobiotics","This piece took a simple question – how many unique bubble tea drinks are there in Taiwan? – and executed it delightfully. There’s so much information, but the illustrations and the personalized framing help you easily traverse it all. I am boba-obsessed, but I tend to stick with the same thing (jasmine milk tea, 50% sweet, light ice, boba), and this piece inspired me to try something new next time. <span class=judge>—Michelle Pera-McGhee</span>"
2022,passion,winner,Flags of Inequality,<a href=https://twitter.com/_ritacosta_>Rita Costa</a> & <a href=https://twitter.com/biased_bia>Beatriz Malveiro</a>,,https://www.flags-of-inequality.com/,,flags.jpg,"a rainbow pride flag for each european country with each colored stripe's height calculated by the percentage of laws and protections for lqgbtq+ people in each category (red: equality and non discrimination; orange: family; yellow: hate crime and hate speech; green: legal recognition & intersex bodily integrity; blue: civil society space; purple: asylum). in 2022, malta ranked 1st, having the most laws and protections.","The subject matter and the design collide with so much thoughtfulness and intention in this piece on LGBTQ+ rights in Europe. I keep looking at the rectangles and being amazed that those simple shapes hold so much meaning: the connection to the queer community, how each stripe is a building block for complete representation, and how the absence of color equals the absence of rights. The big idea behind this piece is so well done, but it’s also packed with so many small details — like how the flags reshuffle — that make the user experience more engaging. I like to consider myself a bit of a connoisseur of queer data projects, and this one is going to stay with me for a long time. <span class=judge>—Jan Diehm</span>"
2022,passion,winner,K-Means Clustering: An Explorable Explainer,<a href=https://yizhe-ang.github.io/>Yi Zhe Ang</a>,,https://k-means-explorable.vercel.app/,,k-means.jpg,a square scatterplot with dots cluster in three areas. the areas are highlighted to show how k-means clustering works.,"I enjoyed everything about this explainer. I know a technical explainer is only meant for a specific audience, but it was done in a gentle and inviting way. It was clear that every piece of it was thoughtfully considered. The prose was both clear and approachable, the design was simple and clean, and the interactions were playful. There was also a nice balance of passive and active user experience. I appreciated the subtle additions, like toggling to the algorithm view, or dragging the edge handles for deeper control. All-in-all, it was a winner for me because it was able to teach me something in a pleasantly engaging way. <span class=judge>— Russell Samora</span>"
2022,passion,honorable mention,Ruas do Género (Streets of Gender),<a href=https://www.linkedin.com/in/joaobernardonarciso/>João Bernardo Narciso</a> & <a href=https://www.linkedin.com/in/claudiofischerlemos/>Cláudio Lemos</a>,,https://ruasdogenero.pt/,,,,
2022,passion,honorable mention,How fateful?,<a href=https://chan.co.za/>Channon Perry</a>,,http://chan.co.za/how-fateful,,,,
2022,passion,honorable mention,"In Crisis, Again",<a href=https://m0llyc00k.github.io/>Molly Cook</a>,,https://in-crisis-again.netlify.app/,,,,
2022,passion,honorable mention,The Haircut,<a href=https://www.instagram.com/francesto.design/>Frances To</a>,,https://the-haircut.webflow.io/,,,,
2022,passion,honorable mention,A Man Sitting on a Couch Looking at Something,<a href=https://www.fredwordie.com/>Fred Wordie</a>,,https://amansittingonacouchlookingatsomething.mildlyupset.com/,TRUE,,,
2022,passion,honorable mention,Thunder Roads,<a href=https://twitter.com/cherdarchuk>Joey Cherdarchuk</a>,,https://f1.obumbratta.com/,,,,
2021,passion,winner,Waterworks,<a href=https://www.queeniwu.com/>Queenie Wu</a> & <a href=https://www.lesliexin.ca/>Leslie Xin</a>,,http://waterworks.digital/,TRUE,waterworks.jpg,a minimal dark map of the streets around the university of waterloo with orange markers that pinpoint the locations where students have cried on campus. there is also light blue heatmap overlaid.,"Despite the atypical subject matter, we all had a similar spark of joy for the brilliance of Waterworks’ concept when first opening the link. Crying at college could have easily been a topic explained in a thousand-word article. However, actually seeing the flood of locations students have cried on campus (in this case, the University of Waterloo) not only makes you understand the topic, but the map-based visualization makes you feel the weight of the topic’s implications (students and academic pressure / stress; even more broadly, young people and mental health). You could say we at The Pudding of all people are suckers for a nuanced topic shown beautifully rather than told verbosely (in fact, it’s kind of our whole thing). <span class=judge>— Caitlyn Ralph</span>"
2021,passion,winner,American Wilderness,Spenser A. Krut,,https://centerforspatialresearch.github.io/fall2021_data_visualization/final/wilderness-main/index.html,,wilderness.jpg,"a bubble chart showing wilderness areas that have been designation in the united states since 1964. the x axis are years 1964-2020. the y axis is the number of areas. each area is donated by a proportional circle sized by the numbers of acres. the most wilderness designations happened in 1980, including the largest: wrangell-saint elias wilderness at 9,432,000 acres.","It’s rare for projects to tackle topics that have received scant coverage, but we were intrigued by the questions this analysis of American wilderness suggested. How much of the land in the country can be considered wild? What is wilderness, exactly? And, since this land is managed by the US government, what does it mean for various departments to be responsible for its administration? <span class=judge>— Ilia Blinderman</span>"
2021,passion,winner,How We Gaze,<a href=https://omarnema.com/>Omar Nema</a>,,http://omarnema.com/how-we-gaze/public/index.html,,gaze.jpg,a red square heatmap of where people look at josef albers' homage to the square painting. the visual using eye trackign data to create a heatmap of where viewers' eyes gravitate.,"How We Gaze is an opportunity to see things from another’s perspective, quite literally. Using crowdsourced eye-tracking data, we’re invited to consider what someone else found most eye-catching about an artwork. Where does their gaze linger? What do they ignore? Do others follow the same path? There’s even an opportunity to contribute your own point of view with the aid of your webcam. As a panel, we found this to be a compelling application of the data, and a subtle way to engender empathy, if only for a few fleeting glances. <span class=judge>— Rob Smith</span>"
2021,passion,honorable mention,River Runner,<a href=https://twitter.com/sam_learner>Sam Learner</a>,,https://river-runner-global.samlearner.com/,,,,"The premise is simple: let a raindrop fall anywhere in the world and watch its travels. Its execution, however, draws the reader in and leads to questions about the world’s vast network of waterways. It’s rare for a project with so few words to give rise to so many cultural, ecological, and geographical considerations. <span class=judge>— Ilia Blinderman</span>"
2021,passion,honorable mention,Loud Numbers: a data sonification podcast,<a href=https://miriamquick.com/>Miriam Quick</a> & <a href=https://duncangeere.com/>Duncan Geere</a>,,https://www.loudnumbers.net/,,,,"Using data to make creative, yet coherent visualizations is hard enough; imagine trying to make music from it. That’s the daunting task that the makers of Loud Numbers undertake in every episode of their podcast, often with resounding success. The “Boom & Bust” and “The End of the Road” episodes are especially captivating sonifications. <span class=judge>— Rob Smith</span>"
2021,passion,honorable mention,Apex Legends,Cooper Thomas,,https://storymaps.arcgis.com/stories/eb3ad9f1083c4cce824b7dca1474f9c5,,,,"As someone who has never given Formula One racing much thought, let alone screen time, I walked away from this piece with a newfound respect for track design and the history of the sport. Who knew Belgian elevation could be so fascinating?! <span class=judge>— Rob Smith</span>"
2021,passion,honorable mention,All The Passes,<a href=https://twitter.com/karim_douieb>Karim Douieb</a>,,https://observablehq.com/@karimdouieb/all-the-passes,,,,"They call it “the beautiful game,” so naturally Karim’s depiction of every pass from 890 football matches looks great. The viz is both simple and satisfying; scrolling around it is a couple minutes well spent. <span class=judge>— Kevin Litman-Navarro</span>"
2021,passion,honorable mention,NBA Recordigami,<a href=https://narro.design/>Narro</a>,,https://narro.design/html/nba-recordigami.html,,,,"This was a great example of choosing the right form for your idea. The triangle visual stacks unlikely records near the outer ends, and the temporal color scale drives home the point that applies outside of basketball — the more times you try something, the more you will see rare outcomes. <span class=judge>— Kevin Litman-Narravo</span>"
2021,passion,honorable mention,Like a Ritual: An Autovisual Ode to Title Fight,<a href=https://sawyer.codes/>Sawyer Click</a>,,https://like-a-ritual.netlify.app/,,,,"Sawyer, you had me at “autovisual ode.” As someone who a) works at The Pudding and b) would travel to the ends of the earth for her favorite bands (quite literally), I adore your standom-fueled, geeky-ass analysis into this band and their discography. Kudos for coalescing all those random Spotify variables into a convincing defense of none other than Title Fight. <span class=judge>— Caitlyn Ralph</span>"
2021,passion,honorable mention,Is the Song Intro Dead?,<a href=https://poc275.me/>Peter O'Connor</a>,,https://poc275.me/death-of-the-song-intro/,,,,"Bit biased here since The Stone Roses are maybe my most-streamed artist so far this year, but I think I speak for all of us at the ol’ Pudding when I say we do love a nerdy data deep-dive to answer a simple yet solid cultural question about music. <span class=judge>— Caitlyn Ralph</span>"
2021,passion,honorable mention,Pat Gallaher,<a href=https://www.instagram.com/fosterschild/>Harrison Lisewski</a>,,http://4plymag.com/patg/,,,,"The super playful merge of interview format, data visualizations, poppy design, and humor got us here. Shout out to Pat. <span class=judge>— Caitlyn Ralph</span>"
2020,passion,winner,Privacy Preserving Proximity Tracing,<a href=https://twitter.com/thomashaaas>Thomas Haas</a> & <a href=https://twitter.com/fidelthomet>Fidel Thomet</a>,,https://tracing.ft0.ch/#/,,privacy.jpg,a diagram showing how covid spreads from one individual to others. lines that represent people with some immunity are colored teal and lines representing people with no immunity are colored magenta. about 50% of the lines (or people) have immunity.,"Explaining a complex topic without conventional charts is usually a recipe for disaster, but this piece pulls it off beautifully. The elegant tracing and pulsing animations paired with well-paced scrollytelling held our attention throughout. In a year filled with top-notch COVID visualizations (we logged over 100 in <a href=https://twitter.com/puddingviz/status/1239619132368265216?s=20>this Twitter thread</a>), this one still managed to stand out."
2020,passion,winner,The Inside Scoop of Ben & Jerry’s,<a href=https://twitter.com/hesheissa>Hesham Eissa</a> & <a href=https://twitter.com/datavizlinds>Lindsey Poulter</a>,,https://benjerry.heshlindsdataviz.com/,,icecream.jpg,"a circular arc map showing all which ingredients are shared across ben and jerry's ice cream flavors. chocolate chunk was the most common with 26 pairings, followed by caramel swirl (20), and chocolate brownies (12).",And we all scream for ice cream! Or at least we did for this project. The delightful transitions and playful gradients make this a fun read that perfectly complimented the subject matter. This team of two used this project to help them learn D3.js. We’re so excited to see more of their work that seamlessly combines data and design (see also <a href=https://runningincolor.heshlindsdataviz.com/>Running in Color</a>).
2020,passion,winner,How Much Does Kid Cudi Hum?,<a href=https://www.connorrothschild.com/>Connor Rothschild</a>,,https://connorrothschild.github.io/cudi-hums/,,kidcudi.jpg,a set of horizontal stacked bar charts. each chart represents a single song by Kid Cudi. the left side is the start of a song and the right side is the end of a song. the bars in each chart track lyric position and hums are highlighed in red. kid cudi hums more toward the end of songs like lovin' me and hums throughout songs like the pale moonlight.,"Our previous experience thinking about hums in songs was limited to the <a href=https://www.youtube.com/watch?v=eTeg1txDv8w>Crash Test Dummies</a> and <a href=https://www.youtube.com/watch?v=NHozn0YXAeE>Hanson</a>, but once we fell down the Kid Cudi rabbit hole, we couldn’t stop. The scrollytelling, transitions, and just the right amount of user inputs make this a really engaging exploration."
2020,passion,honorable mention,Maps of Home,<a href=https://twitter.com/DylanMoriarty>Dylan Moriarty</a>,,https://moriartynaps.org/maps-of-home/,,,,
2020,passion,honorable mention,Try to Impeach This,<a href=https://twitter.com/karim_douieb>Karim Douieb</a>,,http://try-to-impeach-this.jetpack.ai/,,,,
2020,passion,honorable mention,Uncertainty Looms as Student Jobs are Disappearing During the Great Lockdown,"<a href=https://evewashington.github.io/>Eve Washington</a>, <a href=https://shallotly.github.io/>Charlotte Li</a>, <a href=https://jasonkao.me/>Jason Kao</a>, <a href=https://www.linkedin.com/in/claudia-gohn>Claudia Gohn</a>, & <a href=https://www.linkedin.com/in/paulhanna361/>Paul Hanna</a>",,https://www.columbiaspectator.com/eye-lead/2020/05/15/uncertainty-looms-as-student-jobs-are-disappearing-during-the-great-lockdown/,,,,
2020,passion,honorable mention,Why Did the Kursk Sink?,"<a href=https://www.infografika.agency/>Infografika</a>, Kristina Gilyova, Maxim Tleubayev, & Alexander Zienko",,https://kursk.infografika.agency/en/,,,,
2020,passion,honorable mention,The Death Toll of Policing,"<a href=https://www.leonardonicoletti.com/>Leonardo Nicoletti</a>, <a href=https://www.orlandonicoletti.com/>Orlando Nicoletti</a>, & <a href=https://antoinebc.cargo.site/>Antoine Balouka</a>",,https://www.leonardonicoletti.com/work/deathtoll,,,,
2020,passion,honorable mention,Milk Country: The Making of Vermont’s Landscape,<a href=https://www.janicekchen.com/>Janice Kai Chen</a>,,https://www.janicekchen.com/vermont/,,,,
2019,passion,winner,Can one earthquake trigger another on the other side of the world?,<a href=https://twitter.com/W_R_Chase>Will Chase</a>,,https://will-r-chase.github.io/eq_bw/,,earthquakes.jpg,a world map with dots representing eartquakes. most are located along the pacific coast of the americas and the pacific coast of asia. overlaid on the map is a teal spiral wheel showing the locations of earthquakes that could trigger other earthquakes around the world.,This is one of those pieces that instantly makes you interested in a topic you didn’t know you were interested in before. When that seismic wave “+” pattern appears on screen it’s an undeniable “aha!” moment. The story structure keeps you scrolling all the way through — this is an excellently executed explainer.
2019,passion,winner,The Unwelcomed,<a href=https://twitter.com/mohamad_waked>Mohamad A. Waked</a>,,https://alhadaqa.com/the_unwelcomed/,,unwelcomed.jpg,"on the left: a painted magenta sketch of a person carrying two kids and fleeing a wartorn location with building, planes, and explosions in the background. on the right: a bubble map of the world showing where migrants and refugees die while trying to cross boarders. the majority of these deaths are concentrated around the mediterranean sea.",One of the critiques that you often hear in data journalism is that the end product can seem cold or clinical. Not this project. You are reminded of the intense emotional and physical journey of migrants and refugees as soon as you read the open lines: “My blue country...” This is a beautiful and thoughtful piece that doesn’t let you forget the story behind the data.
2019,passion,winner,Shape of the Game: Tottenham vs Man United,<a href=https://vigneshenoy.com/>Vignesh Shenoy</a>,,https://shapeofthegame.com/tottenham-united-pl-2018-19/,,soccer.jpg,a map of a soccer pitch showing all the passes made during a match between totthenham and manchester united. there is also an area chart showing the distribution touches along the length of the field.,"It is hard to stand out creating post-game sports charts since they’ve become an expected part of the second screen experience. But this project fuses together simplicity, focus, and elegance in a digestible and cohesive package. The histogram paired with the pitch is both attractive and explanatory. While nothing groundbreaking, it has a very clear intention and excellent execution."
2019,passion,honorable mention,A visual exploration of the colors of U.S. presidential portraits,<a href=http://www.lmelgar.me/>Luis Melgar</a>,,http://www.lmelgar.me/presidential-colors/,,,,
2019,passion,honorable mention,Visualizing Religious Diversity,<a href=https://www.arushisingh.net/>Arushi Singh</a>,,https://www.arushisingh.net/religionvisualization,,,,
2019,passion,honorable mention,The Size of Space,<a href=https://nealagarwal.me/>Neal Agarwal</a>,,https://neal.fun/size-of-space/,,,,
2019,passion,honorable mention,Is Punk Dead?,<a href=https://sawyer.codes/>Sawyer Click</a>,,https://sawyerclick.github.io/punk/,,,,
2019,passion,honorable mention,Repatriation: An Approach For A Fairer Museum,<a href=https://www.simonebetito.com/>Simone Betito</a>,,https://simone-betito.github.io/msdv-thesis-SB/#,,,,
2019,passion,honorable mention,The United States Water Crisis,<a href=https://www.linkedin.com/in/andrew-levinson/>Andrew Levinson</a>,,https://thewatercrisis.us/,,,,
2019,passion,honorable mention,Genre Blending: Action Overwhelms; Fantasy Doesn’t Even Bother,<a href=https://cultureplot.com/about/>Oliver Gladfelter</a>,,https://cultureplot.com/film-genres/,,,,
2018,passion,winner,Casting Shakespeare,<a href=https://ericwilliamlin.com/>Eric Lin</a>,,https://ericwilliamlin.com/shakespeare_production_data/,,shakespeare.jpg,a yellow and red scatterplot on a black background that shows the age distribution of actors who have played othello and iago in shakespeare plays. otherllo actors are generally older than iago actors.,"Casting Shakespeare is a piece analyzing some of Shakespeare's most well-known work and how the roles themselves affect the casting of actors based on their race and gender. The data visualization not only proved to you how age and gender limit the role of women and people of color in Shakespeare's work, but the annotations also tell you a second story about how directors have broken traditional casting expectations over the years. <span class=judge>— Sisi Wei</span>
<br><br>
While other topics may sound more relevant for humanity, this is a story that communicates how much the person who worked on it is passionate about the topic and how interesting he has made it for others. The narration flows in a way that guides you if you don’t know much about the topic, but still lets you explore and get to the fine detail if you care deeply about it. It brings up the little anecdotes and details that makes this dataset more interesting and even funny, in a way that is not intrusive or feels artificial. <span class=judge>— Chiqui Esteban</span>

"
2018,passion,winner,Twelve years in South Africa's schools,<a href=http://twitter.com/laurajgrant>Laura Grant</a> & <a href=https://twitter.com/alastairotter>Alastair Otter</a>,,https://passmark.org.za/schools/,,passmark.jpg,"a bar chart made of up tiny dots that represents students from grade 1 in 2005 to grade 12 in 2016 in south africa. the chart shows that 1,207,996 students start grade 1, but only 665,355 make it to grade 12.","I'm always looking for a ""whoa"" moment in a data story, and that's what this story delivers. The incremental layering of data guides readers through both the metaphor (dots as students) and the context (what we're looking for.) Then there's a moment near the end of the piece — which I won't ruin — where the authors crystalize the systemic problem with one, concise visual. And with that single gut-wrenching blow, we understand both why this broken South African education system is so devastating. This piece builds a story arc around the data and its subjects, rather than the data scientist and their process, which is important when we try to convey that these spreadsheets describe real-life. This is by no means the most technical or elaborate data story, but it highlights the importance of writing, designing, and editing for an audience. <span class=judge>— Alvin Chang</span>"
2018,passion,winner,Trucks and beer,<a href=https://twitter.com/johnwmillr>John Miller</a>,,https://www.johnwmillr.com/trucks-and-beer/,,trucksbeer.jpg,"a scatterplot showing a posivite correlation between the percentage of country songs that mention truck and the percentage of country songs that mention beer. cole swindell mentions beer more and dustin lynch mentions trucks more. overall, men artists mention beer and trucks more than women artists.","Growing up just outside of Nashville, I’m very familiar with country music tropes — I feel like I’ve lived at least a few of them. I’ve theorized on the “country song formula” with countless friends: start with a back road, add in a mud-covered truck, sprinkle in a girl in blue jeans, and top with a brewski. This piece turned all of my anecdotal experiences into cold hard data, and I loved every minute of it. <span class=judge>— Jan Diehm</span>"
2018,passion,honorable mention,What's That Sound Again?,<a href=https://twitter.com/lekovicj>Jovan Lekovic</a>,,https://constantlyplotting.com/whats-that-sound-again/,,,,
2018,passion,honorable mention,Maternity Leave in the US,<a href=https://mandi-cai.com/>Mandi Cai</a>,,https://mandicai.github.io/maternity-leave/,,,,
2018,passion,honorable mention,What is the Most Conspiratorial Place in the US?,,,http://masalov.design/the-most-conspiratorial-place-in-the-us/,TRUE,,,
2018,passion,honorable mention,"Best New York City neighborhoods, again",<a href=https://catandgirl.com/>Dorothy Gambrell</a>,,http://www.verysmallarray.com/best-new-york-city-neighborhoods-again/,,,,
2018,passion,honorable mention,Moving the Line - Shifting Borders and Disparities in American Cities,Joe Steele,,https://jsteele2003.github.io/msdv_thesis/redlining/dist/index.html,,,,
2018,passion,honorable mention,Mapping The Dominance Of Airbnb On Athens,<a href=https://twitter.com/SotSideris>Sotiris Sideris</a>,,https://medium.com/athenslivegr/mapping-the-dominance-of-airbnb-in-athens-4cb9e0657e80,,,,
2018,passion,honorable mention,Yankee Candle - Making Scents of Emotions,<a href=https://twitter.com/_jrlars_>Jonathan Larson</a>,,http://www.tidbits.fyi/candles,,,,
2018,passion,honorable mention,A Look at the Global Refugee Crisis,"<a href=https://twitter.com/immichaelhester>Michael Hester</a>, <a href=https://twitter.com/jackbeckwith23>Jack Beckwith</a>, <a href=https://www.linkedin.com/in/andres-tavio-39990257>Andres Tavio</a>, & <a href=https://twitter.com/wyatt_shapiro>Wyatt Shapiro</a>",,https://thedataface.com/2018/06/politics/refugees,,,,
2018,passion,honorable mention,Tracing the K-Pop Wave,,,https://datanibbl.es/tracing-kpop-wave/,TRUE,,,
2018,passion,honorable mention,Samples by the Numbers,,,https://www.marcuscb.fyi/samples-by-the-numbers,TRUE,,,
2018,pay,winner,How hard is it to make a believable deepfake?,"<a href=https://twitter.com/tim_leslie>Tim Leslie</a>, <a href=https://twitter.com/nathanhoad>Nathan Hoad</a>, & <a href=https://twitter.com/BSpraggon>Ben Spraggon</a>",<a href=https://www.abc.net.au/news>ABC News</a> (Australia Broadcasting Corp),https://www.abc.net.au/news/2018-09-28/fake-news-how-hard-is-it-to-make-a-deepfake-video/10313906,,deepfake.jpg,a 4x4 grid showing faces of a white man with thinning gray hair. there are neon green lines drawn over the man's face to show the points that are captured to be able to make a deepfake.,"I thought it was not only fun and novel in its execution, but a great example of explanatory, visually-driven journalism, too. Breaking down for readers how DeepFakes works — pixel-by-pixel — and using a real world example to ground the software's potential for misuse was both chilling and informative. I also appreciated the way in which the ABC treated the reader as an equal in their journey to discover how DeepFakes works, making it accessible to both a really plugged-in reader and a causal observer. <span class=judge>— Sarah Frostenson</span>"
2018,pay,winner,How to forecast an American’s vote,"<a href=https://twitter.com/martgnz>Martin Gonzalez</a>, <a href=https://twitter.com/DanRosenheck>Dan Rosenheck</a>, <a href=https://twitter.com/futuraprime>Evan Hensleigh</a>, & <a href=https://twitter.com/MatterofMatt>Matt McLean</a>",<a href=https://www.economist.com/>The Economist</a>,https://www.economist.com/graphic-detail/2018/11/03/how-to-forecast-an-americans-vote,,economist.jpg,"a snaking line chart that shows what combination of demographics it would take to make a black voter a republican or a white born-again protextant a democrat. sex, age, race, and education all play a factor. ","Next level data modeling presented with remarkable clarity. The ""find yourself in the data"" widget is impossible not to share. And there's a logit scale! <span class=judge>— Adam Pearce</span>"
2018,pay,winner,Italia - The Airship Crash Chronicle,"<a href=https://ru.linkedin.com/in/daria-donina>Darya Donina</a>, Timur Fekhretdinov, Alexander Bychkov, Sabina Vakhitova, Anastasia Zotova, Alexander Volkov, Anton Mizinov, Andrei Starkov, & Philip Aghion",<a href=https://tass.com/>Tass</a>,https://italia.tass.com/,,italia.jpg,"a map showing the path of the italia airship between the spitsbergen archipelago, franz josef land, severnaya zemlya, and novaya zemlya near the artic ocean.","An impressive combination of narrative, coupled with an immersive assortment of viz, photos, and video. The pairing of bird's eye view trends in exploration alongside individuals' stories proved itself to be a terrific approach, and kept me enthralled throughout the piece. <span class=judge>— Ilia Blinderman</span>"
2018,pay,honorable mention,Diving into HQ Trivia,Chris Alcantara,<a href=https://www.washingtonpost.com/>Washington Post</a>,https://www.washingtonpost.com/graphics/2018/business/hq-trivia/,,,,
2018,pay,honorable mention,Navigating Brexit waters,"<a href=https://twitter.com/OvaskaOvaska>Michael Ovaska</a>, Jessica Wang, & Gustavo Cabrera",<a href=https://www.reuters.com/>Reuters</a>,http://fingfx.thomsonreuters.com/gfx/rngs/BRITAIN-EU-FISHING/010060PQ194/index.html,,,,
2018,pay,honorable mention,Gender pay gap - when does your company stop paying women in 2018?,"<a href=https://twitter.com/josh_h>Josh Holder</a>, <a href=https://twitter.com/LexyTopping>Alexandra Topping</a>, <a href=https://twitter.com/caelainnbarr>Caelainn Barr</a>, <a href=https://twitter.com/fcage>Feilding Cage</a>, & <a href=https://twitter.com/7091lapS>Antonio Voce</a>",<a href=https://www.theguardian.com/us>The Guardian</a>,https://www.theguardian.com/news/ng-interactive/2018/apr/04/gender-pay-gap-when-does-your-company-stop-paying-women-in-2018,,,,
2018,pay,honorable mention,"Streetscapes - Mozart, Marx and a Dictator","Kai Biermann, Paul Blickle, Astrid Geisler, Flavio Gortana, Lennart Hildebrandt, Andrea Loos, Fabian Mohr, Karsten Polke-Majewski, Alexa Steinbrueck, Julian Stahnke, & Sascha Venohr",<a href=https://www.zeit.de/zeit-magazin/index>Zeit Magazin</a>,https://www.zeit.de/feature/streetdirectory-streetnames-origin-germany-infographic-english,,,,
2018,pay,honorable mention,Looking for the Earth Next Door,"<a href=https://lucguillemot.com/>Luc Guillemot</a>, <a href=https://www.nadineprigann.de/>Nadine Prigann</a>, & <a href=https://twitter.com/solangevogt>Solange Vogt</a>",<a href=https://www.interactivethings.com/>Interactive Things</a>,https://exoplanets.interactivethings.io/,,,,
